"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
1,"Wii Sports","Wii","2006","Sports","Nintendo",41.49,29.02,3.77,8.46,82.74
2,"Super Mario Bros.","NES","1985","Platform","Nintendo",29.08,3.58,6.81,0.77,40.24
3,"Mario Kart Wii","Wii","2008","Racing","Nintendo",15.85,12.88,3.79,3.31,35.82
4,"Wii Sports Resort","Wii","2009","Sports","Nintendo",15.75,11.01,3.28,2.96,33
5,"Pokemon Red/Pokemon Blue","GB","1996","Role-Playing","Nintendo",11.27,8.89,10.22,1,31.37
6,"Tetris","GB","1989","Puzzle","Nintendo",23.2,2.26,4.22,0.58,30.26
7,"New Super Mario Bros.","DS","2006","Platform","Nintendo",11.38,9.23,6.5,2.9,30.01
8,"Wii Play","Wii","2006","Misc","Nintendo",14.03,9.2,2.93,2.85,29.02
9,"New Super Mario Bros. Wii","Wii","2009","Platform","Nintendo",14.59,7.06,4.7,2.26,28.62
10,"Duck Hunt","NES","1984","Shooter","Nintendo",26.93,0.63,0.28,0.47,28.31
11,"Nintendogs","DS","2005","Simulation","Nintendo",9.07,11,1.93,2.75,24.76
12,"Mario Kart DS","DS","2005","Racing","Nintendo",9.81,7.57,4.13,1.92,23.42
13,"Pokemon Gold/Pokemon Silver","GB","1999","Role-Playing","Nintendo",9,6.18,7.2,0.71,23.1
14,"Wii Fit","Wii","2007","Sports","Nintendo",8.94,8.03,3.6,2.15,22.72
15,"Wii Fit Plus","Wii","2009","Sports","Nintendo",9.09,8.59,2.53,1.79,22
19,"Super Mario World","SNES","1990","Platform","Nintendo",12.78,3.75,3.54,0.55,20.61
20,"Brain Age: Train Your Brain in Minutes a Day","DS","2005","Misc","Nintendo",4.75,9.26,4.16,2.05,20.22
21,"Pokemon Diamond/Pokemon Pearl","DS","2006","Role-Playing","Nintendo",6.42,4.52,6.04,1.37,18.36
22,"Super Mario Land","GB","1989","Platform","Nintendo",10.83,2.71,4.18,0.42,18.14
23,"Super Mario Bros. 3","NES","1988","Platform","Nintendo",9.54,3.44,3.84,0.46,17.28
26,"Pokemon Ruby/Pokemon Sapphire","GBA","2002","Role-Playing","Nintendo",6.06,3.9,5.38,0.5,15.85
27,"Pokemon Black/Pokemon White","DS","2010","Role-Playing","Nintendo",5.57,3.28,5.65,0.82,15.32
28,"Brain Age 2: More Training in Minutes a Day","DS","2005","Puzzle","Nintendo",3.44,5.36,5.32,1.18,15.3
31,"Pokémon Yellow: Special Pikachu Edition","GB","1998","Role-Playing","Nintendo",5.89,5.04,3.12,0.59,14.64
33,"Pokemon X/Pokemon Y","3DS","2013","Role-Playing","Nintendo",5.17,4.05,4.34,0.79,14.35
40,"Super Smash Bros. Brawl","Wii","2008","Fighting","Nintendo",6.75,2.61,2.66,1.02,13.04
42,"Animal Crossing: Wild World","DS","2005","Simulation","Nintendo",2.55,3.52,5.33,0.88,12.27
43,"Mario Kart 7","3DS","2011","Racing","Nintendo",4.74,3.91,2.67,0.89,12.21
46,"Pokemon HeartGold/Pokemon SoulSilver","DS","2009","Action","Nintendo",4.4,2.77,3.96,0.77,11.9
47,"Super Mario 64","N64","1996","Platform","Nintendo",6.91,2.85,1.91,0.23,11.89
49,"Super Mario Galaxy","Wii","2007","Platform","Nintendo",6.16,3.4,1.2,0.76,11.52
50,"Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS","2014","Role-Playing","Nintendo",4.23,3.37,3.08,0.65,11.33
51,"Super Mario Land 2: 6 Golden Coins","GB","1992","Adventure","Nintendo",6.16,2.04,2.69,0.29,11.18
54,"Super Mario 3D Land","3DS","2011","Platform","Nintendo",4.89,2.99,2.13,0.78,10.79
58,"Super Mario All-Stars","SNES","1993","Platform","Nintendo",5.99,2.15,2.12,0.29,10.55
59,"Pokemon FireRed/Pokemon LeafGreen","GBA","2004","Role-Playing","Nintendo",4.34,2.65,3.15,0.35,10.49
60,"Super Mario 64","DS","2004","Platform","Nintendo",5.08,3.11,1.25,0.98,10.42
64,"Mario Kart 64","N64","1996","Racing","Nintendo",5.55,1.94,2.23,0.15,9.87
65,"New Super Mario Bros. 2","3DS","2012","Platform","Nintendo",3.66,3.07,2.47,0.63,9.82
72,"Donkey Kong Country","SNES","1994","Platform","Nintendo",4.36,1.71,3,0.23,9.3
74,"Animal Crossing: New Leaf","3DS","2012","Simulation","Nintendo",2.01,2.32,4.36,0.41,9.09
75,"Mario Party DS","DS","2007","Misc","Nintendo",4.46,1.88,1.98,0.7,9.02
77,"Super Mario Kart","SNES","1992","Racing","Nintendo",3.54,1.24,3.81,0.18,8.76
79,"Wii Party","Wii","2010","Misc","Nintendo",1.79,3.53,2.49,0.68,8.49
81,"Mario Party 8","Wii","2007","Misc","Nintendo",3.81,2.3,1.58,0.73,8.42
82,"Pokemon Black 2/Pokemon White 2","DS","2012","Role-Playing","Nintendo",2.91,1.86,3.14,0.43,8.33
85,"GoldenEye 007","N64","1997","Shooter","Nintendo",5.8,2.01,0.13,0.15,8.09
89,"Pokémon Platinum Version","DS","2008","Role-Playing","Nintendo",2.82,1.78,2.69,0.55,7.84
92,"Super Mario Galaxy 2","Wii","2010","Platform","Nintendo",3.66,2.42,0.98,0.64,7.69
95,"The Legend of Zelda: Ocarina of Time","N64","1998","Action","Nintendo",4.1,1.89,1.45,0.16,7.6
97,"Super Mario Bros. 2","NES","1988","Platform","Nintendo",5.39,1.18,0.7,0.19,7.46
98,"Super Smash Bros. for Wii U and 3DS","3DS","2014","Fighting","Nintendo",3.24,1.35,2.42,0.43,7.45
101,"The Legend of Zelda: Twilight Princess","Wii","2006","Action","Nintendo",3.83,2.19,0.6,0.7,7.31
108,"Super Smash Bros. Melee","GC","2001","Fighting","Nintendo",4.41,1.04,1.39,0.22,7.07
109,"Mario Kart 8","WiiU","2014","Racing","Nintendo",3.13,2.07,1.27,0.49,6.96
111,"Mario Kart: Double Dash!!","GC","2003","Racing","Nintendo",4.12,1.77,0.87,0.19,6.95
123,"Big Brain Academy","DS","2005","Misc","Nintendo",1.67,2.78,1.6,0.62,6.67
126,"Donkey Kong Country Returns","Wii","2010","Platform","Nintendo",3.25,1.84,1.03,0.47,6.59
128,"The Legend of Zelda","NES","1986","Action","Nintendo",3.74,0.93,1.69,0.14,6.51
131,"Pokémon Emerald Version","GBA","2004","Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41
133,"Pokémon Crystal Version","GB","2000","Role-Playing","Nintendo",2.55,1.56,1.29,0.99,6.39
136,"Super Mario Sunshine","GC","2002","Platform","Nintendo",4.01,1.26,0.87,0.17,6.31
150,"Dragon Quest IX: Sentinels of the Starry Skies","DS","2009","Role-Playing","Nintendo",0.66,0.69,4.35,0.15,5.84
156,"Tetris","NES","1988","Puzzle","Nintendo",2.97,0.69,1.81,0.11,5.58
158,"Super Smash Bros.","N64","1999","Fighting","Nintendo",2.95,0.6,1.97,0.04,5.55
163,"Super Mario Advance","GBA","2001","Platform","Nintendo",3.14,1.24,0.91,0.2,5.49
164,"Mario Kart: Super Circuit","GBA","2001","Racing","Nintendo",2.62,1.64,0.99,0.23,5.47
165,"Super Mario World","GBA","2001","Platform","Nintendo",3.21,1.11,0.95,0.2,5.46
166,"Pokemon Stadium","N64","1999","Strategy","Nintendo",3.18,1.24,0.94,0.09,5.45
171,"Dr. Mario","GB","1989","Puzzle","Nintendo",2.18,0.96,2,0.2,5.34
172,"Pokemon Pinball","GB","1999","Misc","Nintendo",3.02,1.12,1.01,0.16,5.31
176,"Donkey Kong 64","N64","1999","Platform","Nintendo",3.33,0.79,1.09,0.06,5.27
178,"Professor Layton and the Curious Village","DS","2007","Puzzle","Nintendo",1.22,2.48,1.03,0.52,5.26
183,"Super Mario Bros. 3","GBA","2003","Platform","Nintendo",2.93,1.25,0.83,0.2,5.2
184,"New Super Mario Bros. U","WiiU","2012","Platform","Nintendo",2.32,1.3,1.27,0.31,5.19
185,"Super Mario Land 3: Wario Land","GB","1994","Platform","Nintendo",2.49,0.98,1.57,0.15,5.19
187,"The Legend of Zelda: Phantom Hourglass","DS","2007","Action","Nintendo",1.9,1.83,0.95,0.49,5.17
188,"Donkey Kong Country 2: Diddy's Kong Quest","SNES","1995","Platform","Nintendo",2.1,0.74,2.2,0.11,5.15
189,"Tomodachi Life","3DS","2013","Simulation","Nintendo",0.96,2.02,1.89,0.28,5.15
192,"Kirby's Dream Land","GB","1992","Platform","Nintendo",2.71,0.61,1.7,0.11,5.13
201,"Super Mario Bros.","GB","1999","Platform","Nintendo",3.4,1.3,0.15,0.22,5.07
204,"Super Smash Bros. for Wii U and 3DS","WiiU","2014","Fighting","Nintendo",2.59,1.06,0.8,0.57,5.02
207,"Link's Crossbow Training","Wii","2007","Shooter","Nintendo",3.06,1.18,0.29,0.46,5
210,"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness","DS","2007","Role-Playing","Nintendo",1.85,1.2,1.54,0.37,4.96
214,"Diddy Kong Racing","N64","1997","Racing","Nintendo",2.91,0.99,0.89,0.1,4.88
216,"Dr. Mario","NES","1990","Puzzle","Nintendo",2.62,0.6,1.52,0.1,4.85
227,"Animal Crossing: City Folk","Wii","2008","Simulation","Nintendo",1.87,1.12,1.32,0.37,4.68
232,"The Legend of Zelda: A Link to the Past","SNES","1991","Action","Nintendo",2.42,0.91,1.15,0.13,4.61
233,"The Legend of Zelda: The Wind Waker","GC","2002","Action","Nintendo",2.6,0.99,0.89,0.13,4.6
235,"Luigi's Mansion: Dark Moon","3DS","2013","Action","Nintendo",1.78,1.39,1.1,0.3,4.58
236,"Splatoon","WiiU","2015","Shooter","Nintendo",1.55,1.15,1.44,0.43,4.57
247,"Nintendo Land","WiiU","2012","Misc","Nintendo",2.55,1.11,0.46,0.33,4.44
252,"Zelda II: The Adventure of Link","NES","1987","Adventure","Nintendo",2.19,0.5,1.61,0.08,4.38
262,"Super Mario 3D World","WiiU","2013","Platform","Nintendo",2.11,1.11,0.72,0.3,4.25
269,"The Legend of Zelda: Ocarina of Time","3DS","2011","Action","Nintendo",2.03,1.27,0.62,0.3,4.21
278,"Excitebike","NES","1984","Racing","Nintendo",2.04,0.48,1.57,0.07,4.16
283,"Super Mario World 2: Yoshi's Island","SNES","1995","Platform","Nintendo",1.65,0.61,1.76,0.09,4.12
285,"The Legend of Zelda: Skyward Sword","Wii","2011","Action","Nintendo",2.14,1.2,0.37,0.4,4.1
297,"Star Fox 64","N64","1997","Shooter","Nintendo",2.78,0.58,0.64,0.04,4.03
299,"Golf","NES","1984","Sports","Nintendo",1.22,0.28,2.46,0.04,4.01
301,"Professor Layton and the Diabolical Box","DS","2007","Puzzle","Nintendo",0.92,1.78,0.92,0.37,4
306,"Donkey Kong Land","GB","1994","Platform","Nintendo",1.97,0.76,1.07,0.11,3.91
309,"Monster Hunter 4 Ultimate","3DS","2014","Role-Playing","Nintendo",0.67,0.49,2.62,0.11,3.89
317,"Flash Focus: Vision Training in Minutes a Day","DS","2007","Misc","Nintendo",0.87,1.57,1.05,0.35,3.84
319,"The Legend of Zelda: Link's Awakening","GB","1992","Action","Nintendo",2.21,0.96,0.54,0.13,3.83
320,"Mario & Luigi: Bowser's Inside Story","DS","2009","Role-Playing","Nintendo",2.26,0.48,0.81,0.27,3.83
321,"Big Brain Academy: Wii Degree","Wii","2007","Misc","Nintendo",1.06,1.93,0.41,0.43,3.82
322,"Nintendogs + cats","3DS","2011","Simulation","Nintendo",1.44,1.37,0.73,0.27,3.81
330,"Super Paper Mario","Wii","2007","Platform","Nintendo",1.98,0.88,0.59,0.32,3.76
336,"Pokémon Trading Card Game","GB","1998","Strategy","Nintendo",1.49,0.73,1.38,0.1,3.7
339,"Friend Collection","DS","2009","Misc","Nintendo",0,0,3.67,0,3.67
342,"Banjo-Kazooie","N64","1998","Platform","Nintendo",1.87,1.13,0.55,0.1,3.65
347,"Pokemon Snap","N64","1999","Simulation","Nintendo",2.23,0.68,0.66,0.06,3.63
357,"Luigi's Mansion","GC","2001","Action","Nintendo",2.38,0.67,0.46,0.1,3.6
373,"Donkey Kong Country 3: Dixie Kong's Double Trouble!","SNES","1996","Platform","Nintendo",1.17,0.5,1.75,0.08,3.51
375,"Kung Fu","NES","1985","Action","Nintendo",1.64,0.38,1.42,0.06,3.5
377,"Clubhouse Games","DS","2006","Misc","Nintendo",0.59,1.83,0.73,0.35,3.5
392,"F-1 Race","GB","1990","Racing","Nintendo",1.73,0.69,0.59,0.4,3.41
397,"The Legend of Zelda: Spirit Tracks","DS","2009","Action","Nintendo",1.43,0.94,0.74,0.27,3.38
399,"The Legend of Zelda: Majora's Mask","N64","2000","Action","Nintendo",1.9,0.67,0.73,0.06,3.36
400,"Professor Layton and the Unwound Future","DS","2008","Puzzle","Nintendo",0.65,1.61,0.82,0.28,3.36
403,"English Training: Have Fun Improving Your Skills!","DS","2006","Misc","Nintendo",0,0.99,2.32,0.02,3.33
406,"Mario Party 9","Wii","2012","Misc","Nintendo",1.15,1.17,0.76,0.24,3.32
413,"Wii Music","Wii","2008","Misc","Nintendo",1.36,1.13,0.46,0.32,3.27
420,"Yokai Watch 2 Ganso/Honke","3DS","2014","Role-Playing","Nintendo",0.03,0,3.18,0,3.22
422,"Baseball","NES","1983","Sports","Nintendo",0.73,0.1,2.35,0.02,3.2
423,"Killer Instinct","SNES","1995","Fighting","Nintendo",2.26,0.72,0.12,0.1,3.2
430,"Super Mario Maker","WiiU","2015","Platform","Nintendo",1.18,0.87,0.93,0.2,3.18
433,"Rhythm Heaven","DS","2008","Misc","Nintendo",0.58,0.51,1.93,0.14,3.17
436,"Animal Crossing","GC","2001","Simulation","Nintendo",1.92,0.16,0.99,0.09,3.15
444,"Star Wars Episode I Racer","N64","1999","Racing","Nintendo",2.31,0.62,0.14,0.04,3.12
445,"Personal Trainer: Cooking","DS","2006","Misc","Nintendo",0.91,1,1.03,0.17,3.12
455,"The Legend of Zelda: A Link Between Worlds","3DS","2013","Action","Nintendo",1.4,0.99,0.46,0.22,3.07
456,"Donkey Kong","GB","1994","Platform","Nintendo",1.57,0.62,0.55,0.34,3.07
466,"Mike Tyson's Punch-Out!!","NES","1987","Fighting","Nintendo",2.03,0.47,0.45,0.07,3.02
473,"Star Fox","SNES","1993","Shooter","Nintendo",1.61,0.51,0.8,0.07,2.99
477,"Animal Crossing: Happy Home Designer","3DS","2015","Simulation","Nintendo",0.47,1,1.39,0.12,2.98
482,"Kirby Super Star Ultra","DS","2008","Platform","Nintendo",1.57,0.04,1.19,0.15,2.96
485,"Wave Race 64","N64","1996","Racing","Nintendo",1.98,0.58,0.34,0.04,2.94
491,"WarioWare: Smooth Moves","Wii","2006","Puzzle","Nintendo",0.87,1.06,0.73,0.26,2.92
493,"Super Mario World 2: Yoshi's Island","GBA","2002","Platform","Nintendo",1.75,0.45,0.62,0.09,2.91
510,"F-Zero","SNES","1990","Racing","Nintendo",1.37,0.51,0.89,0.07,2.85
511,"Yoshi's Story","N64","1997","Platform","Nintendo",1.29,0.53,0.98,0.05,2.85
520,"Metroid Prime","GC","2002","Shooter","Nintendo",1.96,0.67,0.1,0.09,2.82
527,"Yoshi's Island DS","DS","2006","Platform","Nintendo",1.47,0.07,1.1,0.15,2.8
536,"Professor Layton and the Last Specter","DS","2009","Puzzle","Nintendo",0.3,1.47,0.68,0.34,2.79
537,"Monster Hunter Tri","3DS","2011","Role-Playing","Nintendo",0.46,0.29,1.96,0.07,2.79
546,"Mario Paint","SNES","1992","Misc","Nintendo",1.43,0.54,0.71,0.07,2.75
548,"Pokémon Stadium 2","N64","2000","Strategy","Nintendo",1.02,0.36,1.13,0.23,2.73
549,"Metroid","NES","1986","Action","Nintendo",1.33,0.31,1.04,0.05,2.73
552,"The Legend of Zelda: A Link to the Past","GBA","2002","Action","Nintendo",1.75,0.52,0.33,0.1,2.7
555,"Mario Party","N64","1998","Misc","Nintendo",1.25,0.53,0.87,0.05,2.7
559,"Mario vs. Donkey Kong: Mini-Land Mayhem!","DS","2010","Puzzle","Nintendo",1.63,0.52,0.35,0.18,2.69
574,"Super Mario Bros.: The Lost Levels","NES","1986","Platform","Nintendo",0,0,2.65,0,2.65
575,"Star Wars: Shadows of the Empire","N64","1996","Action","Nintendo",2,0.5,0.12,0.03,2.65
582,"Mario Strikers Charged","Wii","2007","Sports","Nintendo",1.07,1.06,0.24,0.25,2.62
586,"Style Savvy","DS","2008","Simulation","Nintendo",0.63,0.84,0.96,0.19,2.61
588,"Super Mario All-Stars: Limited Edition","Wii","2010","Platform","Nintendo",1.02,0.52,0.92,0.14,2.6
599,"Art Academy","DS","2010","Misc","Nintendo",0.28,1.68,0.33,0.28,2.57
605,"Pokémon Colosseum","GC","2003","Role-Playing","Nintendo",1.21,0.57,0.7,0.07,2.54
610,"Perfect Dark","N64","2000","Action","Nintendo",1.55,0.75,0.16,0.06,2.52
616,"Mario Party 2","N64","1999","Misc","Nintendo",1.28,0.14,1.08,0.01,2.5
627,"Mario Party 4","GC","2002","Misc","Nintendo",1.13,0.36,0.92,0.07,2.47
639,"Ice Hockey","NES","1988","Sports","Nintendo",1.27,0.32,0.78,0.05,2.42
648,"Pro Wrestling","NES","1987","Fighting","Nintendo",0.77,0.18,1.42,0.03,2.4
672,"Kirby's Dream Land 2","GB","1995","Platform","Nintendo",0.69,0.14,1.48,0.05,2.36
674,"Donkey Kong Land II","GB","1996","Platform","Nintendo",1.39,0.48,0.4,0.08,2.35
682,"The Legend of Zelda: Majora's Mask 3D","3DS","2015","Action","Nintendo",1.14,0.54,0.47,0.17,2.32
685,"Mario Tennis","N64","2000","Sports","Nintendo",0.78,0.4,1.06,0.07,2.32
688,"WarioWare Touched!","DS","2004","Puzzle","Nintendo",0.52,0.45,1.21,0.13,2.31
694,"Pokemon Ranger: Shadows of Almia","DS","2008","Role-Playing","Nintendo",0.95,0.54,0.62,0.18,2.3
702,"Mario Bros.","NES","1983","Platform","Nintendo",0.51,0.12,1.63,0.02,2.28
707,"Paper Mario: Sticker Star","3DS","2012","Role-Playing","Nintendo",1.12,0.39,0.64,0.12,2.27
710,"Kirby: Nightmare in Dream Land","GBA","2002","Platform","Nintendo",1.22,0.1,0.91,0.04,2.27
711,"Wario Land 4","GBA","2001","Platform","Nintendo",0.9,0.73,0.54,0.09,2.26
718,"Paper Mario: The Thousand-Year Door","GC","2004","Role-Playing","Nintendo",1.48,0.25,0.46,0.06,2.25
720,"Monster Hunter Tri","Wii","2009","Role-Playing","Nintendo",0.67,0.41,1.05,0.11,2.25
727,"New Super Luigi U","WiiU","2013","Platform","Nintendo",1.27,0.62,0.18,0.16,2.22
730,"The Legend of Zelda: Link's Awakening DX","GB","1998","Adventure","Nintendo",1,0.63,0.45,0.13,2.22
738,"Wario Land 3","GB","2000","Platform","Nintendo",1.11,0.51,0.34,0.23,2.2
745,"Kirby's Pinball Land","GB","1992","Misc","Nintendo",0.87,0.17,1.1,0.05,2.19
746,"Donkey Kong Country","GB","2000","Platform","Nintendo",1.04,0.72,0.3,0.13,2.19
752,"Pokemon Ranger","DS","2006","Role-Playing","Nintendo",1.29,0.04,0.73,0.12,2.18
753,"Mario & Luigi: Superstar Saga","GBA","2003","Role-Playing","Nintendo",1.48,0.17,0.47,0.06,2.17
755,"Star Wars: Rogue Squadron","N64","1998","Simulation","Nintendo",1.6,0.46,0.08,0.03,2.17
756,"Tennis","NES","1984","Sports","Nintendo",0.48,0.11,1.56,0.02,2.17
761,"Volleyball","NES","1987","Sports","Nintendo",0.14,0.03,1.98,0,2.15
764,"Super Mario RPG: Legend of the Seven Stars","SNES","1996","Role-Playing","Nintendo",0.66,0,1.45,0.03,2.14
765,"Mahjong","NES","1983","Misc","Nintendo",0.01,0,2.13,0,2.14
766,"R.C. Pro-Am","NES","1988","Racing","Nintendo",1.47,0.38,0.19,0.1,2.14
770,"Tetris DS","DS","2006","Puzzle","Nintendo",0.64,0.07,1.35,0.08,2.13
775,"Kirby's Epic Yarn","Wii","2010","Platform","Nintendo",1.47,0.09,0.45,0.11,2.12
777,"Golf","GB","1989","Sports","Nintendo",0.83,0.33,0.92,0.04,2.12
783,"Mario Sports Mix","Wii","2010","Sports","Nintendo",0.9,0.45,0.63,0.13,2.11
805,"Mario Party 5","GC","2003","Misc","Nintendo",0.97,0.33,0.73,0.06,2.08
818,"Pokemon Mystery Dungeon: Red/Blue Rescue Team","GBA","2005","Role-Playing","Nintendo",0.71,0.52,0.74,0.08,2.06
822,"Mario & Luigi: Dream Team","3DS","2013","Role-Playing","Nintendo",0.89,0.57,0.46,0.13,2.06
826,"Pokémon Mystery Dungeon: Blue Rescue Team","DS","2005","Role-Playing","Nintendo",1.16,0.06,0.83,0,2.05
836,"Donkey Kong Country","GBA","2003","Platform","Nintendo",1.2,0.48,0.29,0.07,2.04
839,"1080°: TenEighty Snowboarding","N64","1998","Sports","Nintendo",1.25,0.61,0.13,0.05,2.03
849,"Fire Emblem: Awakening","3DS","2012","Role-Playing","Nintendo",0.89,0.45,0.53,0.13,2
851,"Super Street Fighter II","SNES","1993","Fighting","Nintendo",0.52,0.16,1.29,0.03,2
854,"Tennis","GB","1989","Sports","Nintendo",0.75,0.3,0.9,0.04,1.99
857,"SimCity","SNES","1991","Simulation","Nintendo",0.93,0.27,0.75,0.04,1.98
869,"Rad Racer","NES","1986","Racing","Nintendo",1.13,0.37,0.41,0.05,1.96
870,"Soccer","NES","1985","Sports","Nintendo",0.18,0.23,1.53,0.02,1.96
871,"Kirby Squeak Squad","DS","2006","Platform","Nintendo",0.79,0.03,1.05,0.08,1.96
882,"Alleyway","GB","1989","Puzzle","Nintendo",0.96,0.38,0.55,0.05,1.94
891,"Tetris DX","GB","1998","Puzzle","Nintendo",1.06,0.6,0.2,0.07,1.93
894,"Mario Super Sluggers","Wii","2008","Sports","Nintendo",1.51,0,0.29,0.12,1.93
896,"The Legend of Zelda: Oracle of Ages","GB","2001","Action","Nintendo",0.92,0.53,0.41,0.06,1.92
904,"Mario Party 3","N64","2000","Misc","Nintendo",0.72,0.16,1.01,0.02,1.91
913,"Yokai Watch","3DS","2013","Role-Playing","Nintendo",0.21,0.3,1.33,0.04,1.89
921,"Star Fox Adventures","GC","2002","Adventure","Nintendo",0.96,0.53,0.3,0.09,1.87
924,"Donkey Kong Country Returns","3DS","2013","Platform","Nintendo",0.73,0.62,0.4,0.12,1.87
925,"The Legend of Zelda: Oracle of Seasons","GB","2001","Adventure","Nintendo",0.87,0.52,0.41,0.06,1.86
936,"Mario Party: Island Tour","3DS","2013","Misc","Nintendo",0.61,0.59,0.55,0.11,1.85
940,"Pinball","NES","1984","Action","Nintendo",0.8,0.19,0.83,0.03,1.85
945,"Hey You, Pikachu!","N64","1998","Simulation","Nintendo",0.83,0.06,0.93,0,1.83
953,"Kirby: Triple Deluxe","3DS","2014","Platform","Nintendo",0.61,0.34,0.79,0.09,1.82
