"Year","NA","EU","JP","Others"
"1983",2.32,0.46,8.1,0.08
"1984",32.57,1.95,10.36,0.67
"1985",32.48,4.54,12.02,0.91
"1986",6.73,1.73,7.45,0.26
"1987",5.13,1.18,5.46,0.18
"1988",21.23,6.15,8.13,0.93
"1989",39.81,7.6,15.06,1.4
"1990",19.75,6.42,8.08,1.22
"1991",6.95,2.47,6.22,0.33
"1992",18.48,6.08,12.66,0.91
"1993",9.53,3.09,6.99,0.43
"1994",10.96,4.19,9,0.85
"1995",6.7,2.21,7.45,0.35
"1996",34.54,16.31,21.14,1.7
"1997",15.8,5.22,4.23,0.57
"1998",23.42,12.27,11.32,1.39
"1999",34.18,13.74,15.88,1.51
"2000",15,6.42,10.53,2.07
"2001",23.84,8.84,11.15,1.58
"2002",25.05,9.89,11.9,1.48
"2003",20.15,7.08,9.85,1.09
"2004",28.3,12.43,17.47,2.46
"2005",45.05,42.69,29.5,10.13
"2006",90.35,60.35,36.74,18.16
"2007",42.77,32.81,19.98,8.6
"2008",38.83,25.13,19.96,7.22
"2009",53.15,36.18,29.82,9.71
"2010",24.18,16.52,16.3,4.07
"2011",20.24,14.38,13.43,3.48
"2012",20.84,13.97,18.56,3.13
"2013",19,16.21,14.39,3.18
"2014",18.01,11.37,16.12,3.17
"2015",9.25,7.49,8.57,1.77
"2016",1.16,0.93,1.17,0.2
"N/A",1.12,0.44,0.43,0.14
